domain,age,total_life,updatedFor,R_Country,H_Country,Same_RH_Country,Privacy,TLD,cheap_TLD,dom_has_hyphen,dom_has_digits,top1m,has_Social,external_links,internal_links,label
worldtraderfx.com-2023-1_2022-9,4,5,1,2,1,0,0,1,0,0,0,0,0,0,0,1
worldtraderfx.com-2021-10_2022-4,2,3,1,2,1,0,0,1,0,0,0,0,0,0,0,1
saleaaa.com-2021-1_2020-9,3,4,1,8,1,0,0,1,0,0,0,0,1,4,560,1
usa-passport.org-2022-10_2023-5,3,5,2,1,16,0,1,3,0,1,0,0,0,1,0,1
phaser.io-2023-4_2023-12,10,12,2,1,1,1,1,9,0,0,0,0,1,6,74,1
phaser.io-2023-1_2023-12,10,12,2,1,11,0,1,9,0,0,0,0,1,6,74,1
lifestylemovementsociety.com-2022-7_2022-9,4,9,5,1,1,1,0,1,0,0,0,0,1,2,0,1
lifestylemovementsociety.com-2022-11_2023-6,4,9,5,1,1,1,0,1,0,0,0,0,0,1,0,1
myonlinesecurity.co.uk-2023-12_2024-1,1,3,2,999,1,0,1,44,0,0,0,0,0,0,50,1
myonlinesecurity.co.uk-2023-4_2024-1,1,2,1,999,1,0,1,44,0,0,0,0,0,0,50,1
myonlinesecurity.co.uk-2023-1_2023-12,1,2,1,999,1,0,1,44,0,0,0,0,0,0,50,1
myonlinesecurity.co.uk-2022-4_2023-12,0,1,1,999,1,0,1,44,0,0,0,0,0,0,50,1
myonlinesecurity.co.uk-2022-2_2023-12,0,1,1,999,1,0,1,44,0,0,0,0,0,0,50,1
myonlinesecurity.co.uk-2021-11_2022-8,8,8,0,999,11,0,1,44,0,0,0,0,0,2,49,1
vbrae.com-2023-7_2024-1,5,6,1,2,1,0,0,1,0,0,0,0,1,14,209,1
vbrae.com-2022-7_2023-12,4,5,1,2,1,0,0,1,0,0,0,0,1,14,198,1
vbrae.com-2021-6_2022-12,3,4,1,2,1,0,0,1,0,0,0,0,1,13,217,1
vbrae.com-2021-8_2022-12,3,4,1,2,1,0,0,1,0,0,0,0,1,13,217,1
uniquebookcover.com-2024-1_2023-5,4,5,1,1,11,0,0,1,0,0,0,0,1,2,34,1
uniquebookcover.com-2023-1_2023-5,3,4,1,1,11,0,0,1,0,0,0,0,1,2,34,1
uniquebookcover.com-2022-1_2023-5,2,3,1,1,11,0,0,1,0,0,0,0,1,2,34,1
uniquebookcover.com-2021-1_2022-12,1,2,1,1,11,0,0,1,0,0,0,0,1,1,38,1
rbcdm.com-2023-10_2022-3,4,5,1,1,3,0,0,1,0,0,0,0,0,0,0,1
rbcdm.com-2023-6_2022-3,4,5,1,1,3,0,0,1,0,0,0,0,0,0,0,1
rbcdm.com-2023-8_2022-3,4,5,1,1,3,0,0,1,0,0,0,0,0,0,0,1
rbcdm.com-2023-6_2022-3,4,4,0,1,3,0,0,1,0,0,0,0,0,0,0,1
rbcdm.com-2022-12_2022-3,3,4,1,1,3,0,0,1,0,0,0,0,0,0,0,1
rbcdm.com-2022-10_2022-3,3,4,1,1,15,0,0,1,0,0,0,0,0,0,0,1
rbcdm.com-2022-8_2022-3,3,3,0,1,15,0,0,1,0,0,0,0,0,0,0,1
rbcdm.com-2022-6_2022-3,3,3,0,1,3,0,0,1,0,0,0,0,0,0,0,1
rbcdm.com-2022-1_2022-3,3,3,0,1,3,0,0,1,0,0,0,0,0,0,0,1
rbcdm.com-2021-10_2022-3,2,3,1,1,15,0,0,1,0,0,0,0,0,0,0,1
